na_item,co_nco,sector,finpos,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,CO,S122_S123,LIAB,PC_GDP,BE	239.2 	246.0 	245.9 	251.6 	253.8 	239.3 	254.2 	244.3 	255.4 	268.6 	303.7 	314.0 	337.1 	293.0 	277.7 	256.7 	249.0 	227.5 	222.5 	228.9 	227.0 	227.5 	221.8 
F,CO,S122_S123,LIAB,PC_GDP,BG	86.9 	122.3 	33.3 	25.2 	28.8 	36.2 	37.5 	37.2 	46.0 	61.2 	75.0 	105.3 	120.8 	99.1 	101.8 	90.5 	87.8 	93.3 	97.8 	94.8 	90.8 	91.5 	89.2 
F,CO,S122_S123,LIAB,PC_GDP,CY	227.8 	255.6 	259.9 	268.2 	369.7 	297.9 	301.4 	275.4 	285.3 	307.8 	401.4 	485.2 	575.7 	603.5 	729.3 	665.6 	619.2 	662.6 	462.3 	431.5 	401.6 	355.6 	305.5 
F,CO,S122_S123,LIAB,PC_GDP,CZ	78.2 	76.8 	86.1 	79.8 	82.0 	79.1 	81.2 	76.0 	78.7 	75.2 	78.4 	78.3 	85.8 	90.1 	92.7 	93.4 	96.7 	99.9 	108.8 	107.1 	107.1 	113.0 	: 
F,CO,S122_S123,LIAB,PC_GDP,DE	186.9 	200.6 	217.7 	239.0 	250.2 	263.0 	277.4 	281.5 	284.0 	290.1 	300.7 	298.5 	306.6 	316.7 	294.3 	271.1 	262.6 	257.6 	227.1 	227.2 	214.7 	210.0 	200.7 
F,CO,S122_S123,LIAB,PC_GDP,DK	171.6 	175.6 	186.8 	205.5 	204.7 	205.1 	207.5 	214.0 	223.9 	233.6 	262.6 	272.4 	297.1 	299.2 	309.4 	298.3 	287.5 	285.5 	280.8 	275.3 	264.9 	272.8 	268.4 
F,CO,S122_S123,LIAB,PC_GDP,EE	33.8 	45.7 	67.9 	50.9 	59.9 	67.1 	70.0 	79.0 	87.8 	114.8 	126.6 	117.9 	129.8 	137.3 	146.3 	134.2 	111.5 	108.8 	107.1 	109.0 	113.0 	114.3 	108.4 
F,CO,S122_S123,LIAB,PC_GDP,EL	86.0 	92.1 	101.6 	107.7 	135.5 	135.6 	123.4 	114.3 	116.8 	125.0 	144.6 	155.4 	179.8 	176.8 	194.6 	207.0 	204.2 	218.6 	197.3 	182.8 	167.1 	153.1 	124.5 
F,CO,S122_S123,LIAB,PC_GDP,ES	129.0 	130.3 	134.0 	138.7 	148.9 	154.3 	157.2 	154.9 	166.5 	174.4 	203.1 	222.9 	248.1 	254.4 	272.4 	267.3 	271.8 	268.8 	249.3 	242.3 	220.4 	207.5 	201.9 
F,CO,S122_S123,LIAB,PC_GDP,FI	104.2 	100.9 	101.2 	90.9 	92.7 	87.4 	100.7 	101.1 	114.7 	126.0 	136.3 	143.1 	150.3 	187.7 	209.3 	241.7 	309.4 	283.2 	241.9 	262.4 	245.0 	231.6 	177.0 
