unit,indic,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,INV_TOT,IS	24.17 	22.99 	19.63 	21.32 	24.77 	29.52 	35.68 	29.35 	25.23 	14.99 	13.99 	15.37 	16.00 	15.70 	17.24 	18.97 	: 	: 
PC,INV_TOT,IT	20.43 	20.49 	21.20 	20.72 	20.84 	21.16 	21.49 	21.57 	21.24 	19.99 	19.94 	19.65 	18.36 	17.24 	16.74 	16.93 	17.14 	17.51 
PC,INV_TOT,LT	19.13 	20.52 	20.69 	21.54 	22.90 	23.38 	25.93 	28.58 	26.04 	17.86 	16.86 	18.48 	17.36 	18.46 	18.88 	19.57 	18.92 	: 
PC,INV_TOT,LU	20.22 	21.52 	20.96 	20.38 	20.34 	19.10 	17.61 	18.42 	20.27 	18.41 	17.61 	19.18 	20.16 	19.51 	19.02 	17.28 	17.19 	: 
PC,INV_TOT,LV	25.22 	27.36 	24.55 	24.78 	28.88 	31.27 	34.16 	36.39 	32.05 	22.54 	19.39 	22.18 	25.36 	23.17 	22.54 	22.11 	18.20 	: 
PC,INV_TOT,MT	22.49 	20.39 	16.47 	20.78 	20.60 	22.00 	21.97 	22.38 	19.63 	18.16 	21.39 	17.98 	18.16 	17.48 	17.44 	25.11 	23.76 	: 
PC,INV_TOT,NL	22.92 	22.45 	21.35 	20.87 	20.51 	20.60 	21.27 	21.81 	22.28 	21.30 	19.74 	20.28 	18.90 	17.94 	18.03 	19.38 	19.93 	20.30 
PC,INV_TOT,NO	19.82 	19.53 	19.44 	18.87 	19.60 	20.33 	20.93 	23.54 	22.55 	23.23 	20.73 	21.49 	22.41 	23.54 	23.82 	23.78 	24.08 	23.91 
PC,INV_TOT,PL	23.74 	20.48 	18.44 	18.17 	18.33 	18.89 	20.40 	22.46 	23.10 	21.44 	20.28 	20.68 	19.79 	18.81 	19.73 	20.09 	18.07 	: 
PC,INV_TOT,PT	27.99 	27.37 	25.84 	23.75 	23.39 	23.10 	22.50 	22.48 	22.84 	21.15 	20.53 	18.42 	15.84 	14.75 	15.02 	15.49 	15.25 	16.17 
PC,INV_TOT,RO	18.93 	20.67 	21.22 	22.17 	21.71 	22.92 	25.94 	30.23 	32.85 	25.55 	24.85 	27.16 	27.34 	24.77 	24.29 	24.77 	22.81 	: 
PC,INV_TOT,RS	: 	: 	: 	: 	: 	20.08 	22.26 	25.25 	24.93 	19.66 	18.59 	18.39 	21.17 	17.24 	: 	: 	: 	: 
PC,INV_TOT,SE	22.10 	22.47 	21.65 	21.27 	21.59 	22.14 	23.00 	23.89 	24.32 	22.32 	22.25 	22.69 	22.64 	22.34 	23.05 	23.57 	24.05 	24.92 
PC,INV_TOT,SI	27.34 	26.35 	24.71 	25.19 	26.16 	26.65 	27.82 	28.75 	29.59 	24.35 	21.31 	20.19 	19.22 	19.80 	19.39 	18.85 	17.58 	: 
PC,INV_TOT,SK	27.27 	30.16 	28.89 	25.81 	24.98 	27.35 	27.26 	26.80 	25.55 	21.75 	22.06 	23.99 	21.25 	20.73 	20.73 	23.94 	21.19 	: 
