age,sex,hhtyp,indic_il,workint,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,DK	6.9 	4.4 	7.9 	8.4 	7.0 	7.6 b	8.2 	12.0 	3.6 	10.3 	7.8 	16.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,EA18	9.7 	10.7 	11.4 	11.3 	10.4 	10.9 	11.9 	12.4 	12.4 	13.7 	12.7 	11.9 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,EA19	9.7 	10.8 	11.5 	11.4 	10.5 	10.9 	11.9 	12.4 	12.4 	13.8 	12.7 	11.9 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,EE	14.4 	23.0 	21.4 	26.5 	24.4 	21.9 	26.5 	21.1 	21.3 b	17.8 	23.0 	22.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,EL	10.1 	13.0 	19.6 	16.2 	15.3 	10.4 	13.9 	14.6 	16.6 	14.4 	14.5 	13.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,ES	12.0 	12.5 	11.6 b	11.0 	10.3 	11.8 	10.0 	12.9 	14.7 	13.0 	14.3 	13.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,EU27	10.3 e	11.1 	11.7 	11.8 	11.4 	12.0 	12.7 	13.1 	13.5 	14.1 	13.2 	13.1 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,EU28	: 	: 	: 	: 	11.3 	11.9 	12.6 	13.0 	13.4 	14.1 	13.2 	13.1 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,FI	7.4 	9.0 	8.5 	9.3 	6.9 	9.6 	8.7 	4.7 	8.2 	8.7 	6.2 	2.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,FR	10.7 	12.4 	9.5 b	9.3 	9.5 	7.3 	12.7 	13.0 	11.8 	10.6 	11.3 	9.0 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,HR	: 	: 	: 	: 	9.4 	8.6 	5.8 	7.2 	6.8 	5.2 	4.8 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,HU	8.5 	6.0 	7.8 	9.8 	9.1 	10.9 	13.3 	15.8 	16.0 	13.9 	15.2 	18.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,IE	1.5 	6.5 	8.3 	1.9 	3.3 	15.8 	7.0 	6.5 	3.0 	3.9 	6.6 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,IS	12.6 	18.5 	13.5 	8.7 	9.1 	13.2 	0.0 	6.8 	5.3 	11.5 	14.4 p	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,IT	8.3 	9.8 	9.8 	10.4 	7.5 	13.0 	9.5 	11.3 	14.0 	15.7 	16.0 	13.2 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,LT	15.3 	16.4 	21.9 	24.9 	30.7 	10.6 	13.2 	18.5 	13.3 	19.4 	17.5 	24.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,LU	15.6 	13.9 	13.4 	10.7 	9.7 	9.1 	17.1 	11.2 	15.0 	11.4 	17.4 b	26.2 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,LV	30.6 	32.0 	36.7 	23.9 	14.4 	21.1 	19.8 	23.3 	26.7 	23.8 	21.6 	27.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,MK	: 	: 	: 	: 	: 	: 	6.5 	5.6 	3.5 	4.9 	6.1 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,MT	1.7 	1.9 	2.9 	2.9 	3.1 	9.2 	5.4 	9.0 	8.2 	5.1 	6.3 	12.1 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,NL	2.6 	3.8 	13.6 	3.3 	4.8 	6.8 	2.4 	5.4 	5.1 	8.3 	9.8 b	9.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,NO	8.3 	12.7 	18.2 	16.9 	8.9 	6.9 	6.1 	7.5 	10.0 	15.6 	11.8 	5.7 
