E1,E2,beta,pvalue,intercept,rvalue,stderr
CTC/A CN Equity,FR FP Equity,0.08744668916379794,0.037514051450042815,0.0007623945321846,0.14575485979511763,0.04176204479357121
CTC/A CN Equity,5101 JP Equity,0.10701743993348345,0.003256039750228328,0.0008352555750738356,0.20508015352662617,0.03593559797783148
7605 JP Equity,5108 JP Equity,0.2008328300274463,0.007402584163697495,-8.641298326917463e-05,0.1870014260151567,0.07423088140861236
7605 JP Equity,6902 JP Equity,0.21882032878342886,0.00020227867853385317,-0.00010297158300514015,0.2573676238566891,0.0578064294245953
7605 JP Equity,161390 KS Equity,-0.14150625044710047,0.009758257028452793,-9.657838246864474e-06,-0.18055573313210227,0.054236494725217715
7605 JP Equity,MG CN Equity,0.14124616427484765,0.04139587772252151,-0.0001584538293387924,0.14294080108061286,0.06881166161494658
7605 JP Equity,5110 JP Equity,0.17686025826040003,0.013457715377064885,-0.0002739383527838283,0.17279233293419835,0.07093293604862774
7605 JP Equity,TEN US Equity,0.14285985645102203,0.0029851251165453193,0.000324599800995712,0.2069072322397896,0.04752890326978272
7605 JP Equity,6995 JP Equity,0.110761827835452,0.018785200412125055,-2.5588624212489257e-05,0.16440574506106395,0.046757074688932226
7605 JP Equity,5105 JP Equity,0.10667983421713056,0.0029789445752959978,-9.980074275940268e-05,0.20695064004156158,0.0354841770623697
7605 JP Equity,5101 JP Equity,0.13475524286309976,0.013932630419883069,-0.00010765287410363301,0.17193658430844583,0.05432322519882808
SIPH FP Equity.1,EO FP Equity,0.22405105287753607,0.01563629119483948,0.0010100770292223865,0.1690633445995289,0.0919019716109425
APTY IN Equity,CON GR Equity,0.2752718938260776,0.01273697208320969,0.001994435983881172,0.17414306855232875,0.10951986797690118
APTY IN Equity,6902 JP Equity,0.185214695448373,0.027577752105382256,0.002089002643045722,0.15428099481996857,0.0834557269022342
APTY IN Equity,EO FP Equity,0.2642389917795741,0.0039039327736444312,0.0014751319987772358,0.20121373226464773,0.09050843206355827
APTY IN Equity,MRF IN Equity,0.7496104716234533,5.7052547179662664e-27,0.0014969394794239494,0.6607784444629464,0.05991032329355949
APTY IN Equity,NRE1V FH Equity,0.3848590497477239,0.00042131635392174605,0.0020348208755623853,0.24463558395014248,0.10732620116926854
