currency,partner,sector10,sectpart,s_adj,stk_flow,bop_item,geotime,date,value
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2018-01-01,304
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ME,2018-04-01,308
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,MK,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,MK,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,MK,2016-01-01,45
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,MK,2016-04-01,207
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,MK,2016-07-01,106
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,MK,2016-10-01,128
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,MK,2017-01-01,135
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,MK,2017-04-01,90
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,MK,2017-07-01,189
