,coicop,unit,geo\time,date,value
474,CP07,I15,US,2018-03-01,101.29 d
475,CP07,I15,US,2018-04-01,102.97 d
476,CP07,I15,US,2018-05-01,104.84 d
477,CP07,I15,US,2018-06-01,105.12 d
478,CP07,I15,US,2018-07-01,104.77 d
479,CP07,I15,US,2018-08-01,104.49 d
480,CP07,I15,US,2018-09-01,103.78 d
481,CP07,PCH_M1,AT,2017-10-01,-0.6 
482,CP07,PCH_M1,AT,2017-11-01,0.1 
483,CP07,PCH_M1,AT,2017-12-01,1.5 
484,CP07,PCH_M1,AT,2018-01-01,-0.6 
485,CP07,PCH_M1,AT,2018-02-01,0.2 
486,CP07,PCH_M1,AT,2018-03-01,-0.6 
487,CP07,PCH_M1,AT,2018-04-01,1.8 
488,CP07,PCH_M1,AT,2018-05-01,1.0 
489,CP07,PCH_M1,AT,2018-06-01,0.4 
490,CP07,PCH_M1,AT,2018-07-01,0.4 
491,CP07,PCH_M1,AT,2018-08-01,0.5 
492,CP07,PCH_M1,AT,2018-09-01,-0.3 
493,CP07,PCH_M1,BE,2017-10-01,0.3 
494,CP07,PCH_M1,BE,2017-11-01,1.0 
495,CP07,PCH_M1,BE,2017-12-01,-0.1 
496,CP07,PCH_M1,BE,2018-01-01,0.5 
497,CP07,PCH_M1,BE,2018-02-01,0.2 
498,CP07,PCH_M1,BE,2018-03-01,-0.1 
499,CP07,PCH_M1,BE,2018-04-01,1.0 
500,CP07,PCH_M1,BE,2018-05-01,1.0 
501,CP07,PCH_M1,BE,2018-06-01,0.7 
502,CP07,PCH_M1,BE,2018-07-01,0.7 
503,CP07,PCH_M1,BE,2018-08-01,0.4 
504,CP07,PCH_M1,BE,2018-09-01,-0.2 
505,CP07,PCH_M1,BG,2017-10-01,-1.6 
506,CP07,PCH_M1,BG,2017-11-01,0.6 
507,CP07,PCH_M1,BG,2017-12-01,2.2 
508,CP07,PCH_M1,BG,2018-01-01,-0.4 
509,CP07,PCH_M1,BG,2018-02-01,-0.3 
510,CP07,PCH_M1,BG,2018-03-01,-0.3 
511,CP07,PCH_M1,BG,2018-04-01,0.1 
512,CP07,PCH_M1,BG,2018-05-01,2.1 
513,CP07,PCH_M1,BG,2018-06-01,1.8 
514,CP07,PCH_M1,BG,2018-07-01,0.7 
515,CP07,PCH_M1,BG,2018-08-01,0.8 
516,CP07,PCH_M1,BG,2018-09-01,0.2 
517,CP07,PCH_M1,CH,2017-10-01,-0.6 
518,CP07,PCH_M1,CH,2017-11-01,-0.9 
519,CP07,PCH_M1,CH,2017-12-01,0.8 
520,CP07,PCH_M1,CH,2018-01-01,-1.0 
521,CP07,PCH_M1,CH,2018-02-01,0.3 
522,CP07,PCH_M1,CH,2018-03-01,0.7 
523,CP07,PCH_M1,CH,2018-04-01,1.3 
524,CP07,PCH_M1,CH,2018-05-01,1.8 
525,CP07,PCH_M1,CH,2018-06-01,0.1 
526,CP07,PCH_M1,CH,2018-07-01,1.6 
527,CP07,PCH_M1,CH,2018-08-01,-0.8 
528,CP07,PCH_M1,CH,2018-09-01,-0.3 
529,CP07,PCH_M1,CY,2017-10-01,0.9 
530,CP07,PCH_M1,CY,2017-11-01,-0.5 
531,CP07,PCH_M1,CY,2017-12-01,0.6 
532,CP07,PCH_M1,CY,2018-01-01,-4.2 
533,CP07,PCH_M1,CY,2018-02-01,4.7 
534,CP07,PCH_M1,CY,2018-03-01,-0.5 
535,CP07,PCH_M1,CY,2018-04-01,2.4 
536,CP07,PCH_M1,CY,2018-05-01,-0.8 
537,CP07,PCH_M1,CY,2018-06-01,2.9 
538,CP07,PCH_M1,CY,2018-07-01,1.3 
539,CP07,PCH_M1,CY,2018-08-01,4.2 
540,CP07,PCH_M1,CY,2018-09-01,-7.4 
541,CP07,PCH_M1,CZ,2017-10-01,0.1 
542,CP07,PCH_M1,CZ,2017-11-01,0.5 
543,CP07,PCH_M1,CZ,2017-12-01,0.4 
544,CP07,PCH_M1,CZ,2018-01-01,0.2 
545,CP07,PCH_M1,CZ,2018-02-01,0.5 
546,CP07,PCH_M1,CZ,2018-03-01,-0.1 
547,CP07,PCH_M1,CZ,2018-04-01,0.6 
548,CP07,PCH_M1,CZ,2018-05-01,1.1 
549,CP07,PCH_M1,CZ,2018-06-01,1.4 
550,CP07,PCH_M1,CZ,2018-07-01,0.3 
551,CP07,PCH_M1,CZ,2018-08-01,-0.5 
552,CP07,PCH_M1,CZ,2018-09-01,-1.1 
553,CP07,PCH_M1,DE,2017-10-01,-0.2 
554,CP07,PCH_M1,DE,2017-11-01,0.6 
555,CP07,PCH_M1,DE,2017-12-01,0.2 
556,CP07,PCH_M1,DE,2018-01-01,0.1 
