age,unit,indic_em,geo\time,date,value
Y20-64,PC_POP,EMP_LFS,IS,2004-01-01,8.9 
Y20-64,PC_POP,EMP_LFS,IS,2005-01-01,8.4 
Y20-64,PC_POP,EMP_LFS,IS,2006-01-01,8.8 
Y20-64,PC_POP,EMP_LFS,IS,2007-01-01,10.1 
Y20-64,PC_POP,EMP_LFS,IS,2008-01-01,9.5 
Y20-64,PC_POP,EMP_LFS,IS,2009-01-01,5.4 
Y20-64,PC_POP,EMP_LFS,IS,2010-01-01,5.5 
Y20-64,PC_POP,EMP_LFS,IS,2011-01-01,5.4 
Y20-64,PC_POP,EMP_LFS,IS,2012-01-01,5.3 
Y20-64,PC_POP,EMP_LFS,IS,2013-01-01,6.5 
Y20-64,PC_POP,EMP_LFS,IS,2014-01-01,6.3 
Y20-64,PC_POP,EMP_LFS,IS,2015-01-01,6.3 
