unit,indic,geotime,date,value
PC,INV_GOV,IE,2014-01-01,2
PC,INV_GOV,IE,2015-01-01,1
PC,INV_GOV,IE,2016-01-01,1
PC,INV_GOV,IE,2017-01-01,
PC,INV_GOV,IS,2000-01-01,5
PC,INV_GOV,IS,2001-01-01,5
PC,INV_GOV,IS,2002-01-01,4
PC,INV_GOV,IS,2003-01-01,3
PC,INV_GOV,IS,2004-01-01,4
PC,INV_GOV,IS,2005-01-01,3
PC,INV_GOV,IS,2006-01-01,4
PC,INV_GOV,IS,2007-01-01,4
PC,INV_GOV,IS,2008-01-01,4
PC,INV_GOV,IS,2009-01-01,3
PC,INV_GOV,IS,2010-01-01,3
PC,INV_GOV,IS,2011-01-01,2
PC,INV_GOV,IS,2012-01-01,2
PC,INV_GOV,IS,2013-01-01,2
PC,INV_GOV,IS,2014-01-01,3
PC,INV_GOV,IS,2015-01-01,2
PC,INV_GOV,IS,2016-01-01,
PC,INV_GOV,IS,2017-01-01,
PC,INV_GOV,IT,2000-01-01,2
PC,INV_GOV,IT,2001-01-01,2
PC,INV_GOV,IT,2002-01-01,2
PC,INV_GOV,IT,2003-01-01,3
PC,INV_GOV,IT,2004-01-01,3
PC,INV_GOV,IT,2005-01-01,3
PC,INV_GOV,IT,2006-01-01,2
PC,INV_GOV,IT,2007-01-01,2
PC,INV_GOV,IT,2008-01-01,2
PC,INV_GOV,IT,2009-01-01,3
PC,INV_GOV,IT,2010-01-01,2
PC,INV_GOV,IT,2011-01-01,2
PC,INV_GOV,IT,2012-01-01,2
PC,INV_GOV,IT,2013-01-01,2
PC,INV_GOV,IT,2014-01-01,2
PC,INV_GOV,IT,2015-01-01,2
PC,INV_GOV,IT,2016-01-01,2
PC,INV_GOV,IT,2017-01-01,1
PC,INV_GOV,LT,2000-01-01,2
PC,INV_GOV,LT,2001-01-01,2
PC,INV_GOV,LT,2002-01-01,2
PC,INV_GOV,LT,2003-01-01,3
PC,INV_GOV,LT,2004-01-01,3
PC,INV_GOV,LT,2005-01-01,3
PC,INV_GOV,LT,2006-01-01,4
PC,INV_GOV,LT,2007-01-01,5
PC,INV_GOV,LT,2008-01-01,5
PC,INV_GOV,LT,2009-01-01,4
PC,INV_GOV,LT,2010-01-01,4
PC,INV_GOV,LT,2011-01-01,4
PC,INV_GOV,LT,2012-01-01,3
PC,INV_GOV,LT,2013-01-01,3
PC,INV_GOV,LT,2014-01-01,3
PC,INV_GOV,LT,2015-01-01,3
PC,INV_GOV,LT,2016-01-01,2
PC,INV_GOV,LT,2017-01-01,
PC,INV_GOV,LU,2000-01-01,3
PC,INV_GOV,LU,2001-01-01,4
PC,INV_GOV,LU,2002-01-01,4
PC,INV_GOV,LU,2003-01-01,4
PC,INV_GOV,LU,2004-01-01,4
PC,INV_GOV,LU,2005-01-01,5
PC,INV_GOV,LU,2006-01-01,3
PC,INV_GOV,LU,2007-01-01,3
PC,INV_GOV,LU,2008-01-01,3
PC,INV_GOV,LU,2009-01-01,4
PC,INV_GOV,LU,2010-01-01,4
PC,INV_GOV,LU,2011-01-01,4
PC,INV_GOV,LU,2012-01-01,3
PC,INV_GOV,LU,2013-01-01,3
PC,INV_GOV,LU,2014-01-01,3
PC,INV_GOV,LU,2015-01-01,3
PC,INV_GOV,LU,2016-01-01,3
PC,INV_GOV,LU,2017-01-01,
PC,INV_GOV,LV,2000-01-01,1
PC,INV_GOV,LV,2001-01-01,1
PC,INV_GOV,LV,2002-01-01,1
PC,INV_GOV,LV,2003-01-01,2
PC,INV_GOV,LV,2004-01-01,3
PC,INV_GOV,LV,2005-01-01,3
PC,INV_GOV,LV,2006-01-01,4
PC,INV_GOV,LV,2007-01-01,5
PC,INV_GOV,LV,2008-01-01,5
PC,INV_GOV,LV,2009-01-01,4
PC,INV_GOV,LV,2010-01-01,4
PC,INV_GOV,LV,2011-01-01,4
PC,INV_GOV,LV,2012-01-01,4
PC,INV_GOV,LV,2013-01-01,4
PC,INV_GOV,LV,2014-01-01,4
PC,INV_GOV,LV,2015-01-01,4
PC,INV_GOV,LV,2016-01-01,3
PC,INV_GOV,LV,2017-01-01,
PC,INV_GOV,MT,2000-01-01,
PC,INV_GOV,MT,2001-01-01,
PC,INV_GOV,MT,2002-01-01,
PC,INV_GOV,MT,2003-01-01,
PC,INV_GOV,MT,2004-01-01,
PC,INV_GOV,MT,2005-01-01,4
PC,INV_GOV,MT,2006-01-01,3
PC,INV_GOV,MT,2007-01-01,3
PC,INV_GOV,MT,2008-01-01,2
PC,INV_GOV,MT,2009-01-01,2
PC,INV_GOV,MT,2010-01-01,2
PC,INV_GOV,MT,2011-01-01,2
PC,INV_GOV,MT,2012-01-01,3
PC,INV_GOV,MT,2013-01-01,2
PC,INV_GOV,MT,2014-01-01,3
PC,INV_GOV,MT,2015-01-01,4
PC,INV_GOV,MT,2016-01-01,2
PC,INV_GOV,MT,2017-01-01,
PC,INV_GOV,NL,2000-01-01,3
PC,INV_GOV,NL,2001-01-01,3
PC,INV_GOV,NL,2002-01-01,4
PC,INV_GOV,NL,2003-01-01,4
PC,INV_GOV,NL,2004-01-01,3
PC,INV_GOV,NL,2005-01-01,3
PC,INV_GOV,NL,2006-01-01,3
PC,INV_GOV,NL,2007-01-01,3
PC,INV_GOV,NL,2008-01-01,3
PC,INV_GOV,NL,2009-01-01,4
PC,INV_GOV,NL,2010-01-01,4
PC,INV_GOV,NL,2011-01-01,4
PC,INV_GOV,NL,2012-01-01,3
PC,INV_GOV,NL,2013-01-01,3
PC,INV_GOV,NL,2014-01-01,3
PC,INV_GOV,NL,2015-01-01,3
PC,INV_GOV,NL,2016-01-01,3
PC,INV_GOV,NL,2017-01-01,3
PC,INV_GOV,NO,2000-01-01,3
PC,INV_GOV,NO,2001-01-01,3
PC,INV_GOV,NO,2002-01-01,3
PC,INV_GOV,NO,2003-01-01,3
PC,INV_GOV,NO,2004-01-01,3
PC,INV_GOV,NO,2005-01-01,3
PC,INV_GOV,NO,2006-01-01,3
PC,INV_GOV,NO,2007-01-01,3
PC,INV_GOV,NO,2008-01-01,3
PC,INV_GOV,NO,2009-01-01,4
PC,INV_GOV,NO,2010-01-01,4
PC,INV_GOV,NO,2011-01-01,4
PC,INV_GOV,NO,2012-01-01,3
PC,INV_GOV,NO,2013-01-01,4
PC,INV_GOV,NO,2014-01-01,4
PC,INV_GOV,NO,2015-01-01,4
PC,INV_GOV,NO,2016-01-01,5
PC,INV_GOV,NO,2017-01-01,5
PC,INV_GOV,PL,2000-01-01,1
PC,INV_GOV,PL,2001-01-01,2
PC,INV_GOV,PL,2002-01-01,2
PC,INV_GOV,PL,2003-01-01,2
PC,INV_GOV,PL,2004-01-01,2
PC,INV_GOV,PL,2005-01-01,3
PC,INV_GOV,PL,2006-01-01,4
PC,INV_GOV,PL,2007-01-01,4
PC,INV_GOV,PL,2008-01-01,4
PC,INV_GOV,PL,2009-01-01,5
PC,INV_GOV,PL,2010-01-01,5
PC,INV_GOV,PL,2011-01-01,5
PC,INV_GOV,PL,2012-01-01,4
PC,INV_GOV,PL,2013-01-01,4
