currency,bop_item,sector10,sectpart,s_adj,stk_flow,partner,geotime,date,value
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2018-01-01,1
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IS,2018-04-01,10
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2018-01-01,4391
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,IT,2018-04-01,9681
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,LT,2017-01-01,
