unit,age,sex,lmp_type,geotime,date,value
RT,TOTAL,T,TOT2_7,CZ,2006-01-01,9
RT,TOTAL,T,TOT2_7,CZ,2007-01-01,12
RT,TOTAL,T,TOT2_7,CZ,2008-01-01,12
RT,TOTAL,T,TOT2_7,CZ,2009-01-01,9
RT,TOTAL,T,TOT2_7,CZ,2010-01-01,11
RT,TOTAL,T,TOT2_7,CZ,2011-01-01,10
RT,TOTAL,T,TOT2_7,CZ,2012-01-01,10
RT,TOTAL,T,TOT2_7,CZ,2013-01-01,10
RT,TOTAL,T,TOT2_7,CZ,2014-01-01,18
RT,TOTAL,T,TOT2_7,CZ,2015-01-01,21
RT,TOTAL,T,TOT2_7,CZ,2016-01-01,22
RT,TOTAL,T,TOT2_7,DE,2005-01-01,22
RT,TOTAL,T,TOT2_7,DE,2006-01-01,38
RT,TOTAL,T,TOT2_7,DE,2007-01-01,28
RT,TOTAL,T,TOT2_7,DE,2008-01-01,28
RT,TOTAL,T,TOT2_7,DE,2009-01-01,32
RT,TOTAL,T,TOT2_7,DE,2010-01-01,36
RT,TOTAL,T,TOT2_7,DE,2011-01-01,34
RT,TOTAL,T,TOT2_7,DE,2012-01-01,32
RT,TOTAL,T,TOT2_7,DE,2013-01-01,30
RT,TOTAL,T,TOT2_7,DE,2014-01-01,31
RT,TOTAL,T,TOT2_7,DE,2015-01-01,30
RT,TOTAL,T,TOT2_7,DE,2016-01-01,19
RT,TOTAL,T,TOT2_7,DK,2005-01-01,46
RT,TOTAL,T,TOT2_7,DK,2006-01-01,57
RT,TOTAL,T,TOT2_7,DK,2007-01-01,50
RT,TOTAL,T,TOT2_7,DK,2008-01-01,63
RT,TOTAL,T,TOT2_7,DK,2009-01-01,49
RT,TOTAL,T,TOT2_7,DK,2010-01-01,50
RT,TOTAL,T,TOT2_7,DK,2011-01-01,46
RT,TOTAL,T,TOT2_7,DK,2012-01-01,44
RT,TOTAL,T,TOT2_7,DK,2013-01-01,45
RT,TOTAL,T,TOT2_7,DK,2014-01-01,45
RT,TOTAL,T,TOT2_7,DK,2015-01-01,54
RT,TOTAL,T,TOT2_7,DK,2016-01-01,43
RT,TOTAL,T,TOT2_7,EE,2005-01-01,1
RT,TOTAL,T,TOT2_7,EE,2006-01-01,2
RT,TOTAL,T,TOT2_7,EE,2007-01-01,1
RT,TOTAL,T,TOT2_7,EE,2008-01-01,1
RT,TOTAL,T,TOT2_7,EE,2009-01-01,1
RT,TOTAL,T,TOT2_7,EE,2010-01-01,3
RT,TOTAL,T,TOT2_7,EE,2011-01-01,4
RT,TOTAL,T,TOT2_7,EE,2012-01-01,5
RT,TOTAL,T,TOT2_7,EE,2013-01-01,4
RT,TOTAL,T,TOT2_7,EE,2014-01-01,4
RT,TOTAL,T,TOT2_7,EE,2015-01-01,5
RT,TOTAL,T,TOT2_7,EE,2016-01-01,16
RT,TOTAL,T,TOT2_7,EL,2005-01-01,
RT,TOTAL,T,TOT2_7,EL,2006-01-01,7
RT,TOTAL,T,TOT2_7,EL,2007-01-01,7
RT,TOTAL,T,TOT2_7,EL,2008-01-01,8
RT,TOTAL,T,TOT2_7,EL,2009-01-01,15
RT,TOTAL,T,TOT2_7,EL,2010-01-01,12
RT,TOTAL,T,TOT2_7,EL,2011-01-01,
RT,TOTAL,T,TOT2_7,EL,2012-01-01,2
RT,TOTAL,T,TOT2_7,EL,2013-01-01,6
RT,TOTAL,T,TOT2_7,EL,2014-01-01,8
RT,TOTAL,T,TOT2_7,EL,2015-01-01,7
RT,TOTAL,T,TOT2_7,EL,2016-01-01,3
RT,TOTAL,T,TOT2_7,ES,2005-01-01,
RT,TOTAL,T,TOT2_7,ES,2006-01-01,90
RT,TOTAL,T,TOT2_7,ES,2007-01-01,127
RT,TOTAL,T,TOT2_7,ES,2008-01-01,84
RT,TOTAL,T,TOT2_7,ES,2009-01-01,55
RT,TOTAL,T,TOT2_7,ES,2010-01-01,47
RT,TOTAL,T,TOT2_7,ES,2011-01-01,41
RT,TOTAL,T,TOT2_7,ES,2012-01-01,33
RT,TOTAL,T,TOT2_7,ES,2013-01-01,23
RT,TOTAL,T,TOT2_7,ES,2014-01-01,25
RT,TOTAL,T,TOT2_7,ES,2015-01-01,28
RT,TOTAL,T,TOT2_7,ES,2016-01-01,28
RT,TOTAL,T,TOT2_7,EU28,2005-01-01,
RT,TOTAL,T,TOT2_7,EU28,2006-01-01,
RT,TOTAL,T,TOT2_7,EU28,2007-01-01,34
RT,TOTAL,T,TOT2_7,EU28,2008-01-01,32
RT,TOTAL,T,TOT2_7,EU28,2009-01-01,29
RT,TOTAL,T,TOT2_7,EU28,2010-01-01,
RT,TOTAL,T,TOT2_7,EU28,2011-01-01,
RT,TOTAL,T,TOT2_7,EU28,2012-01-01,22
RT,TOTAL,T,TOT2_7,EU28,2013-01-01,
RT,TOTAL,T,TOT2_7,EU28,2014-01-01,
RT,TOTAL,T,TOT2_7,EU28,2015-01-01,
RT,TOTAL,T,TOT2_7,EU28,2016-01-01,
RT,TOTAL,T,TOT2_7,FI,2005-01-01,24
RT,TOTAL,T,TOT2_7,FI,2006-01-01,25
