org_inst,sex,unit,geotime,date,value
GOV_NAT,F,PC_WMN,UK,2013-01-01,19
GOV_NAT,F,PC_WMN,UK,2014-01-01,24
GOV_NAT,F,PC_WMN,UK,2015-01-01,25
GOV_NAT,F,PC_WMN,UK,2016-01-01,23
GOV_NAT,F,PC_WMN,UK,2017-01-01,26
GOV_NAT,F,PC_WMN,UK,2018-01-01,31
PARL_NAT,F,PC_WMN,AT,2003-01-01,33
PARL_NAT,F,PC_WMN,AT,2004-01-01,30
PARL_NAT,F,PC_WMN,AT,2005-01-01,31
PARL_NAT,F,PC_WMN,AT,2006-01-01,31
PARL_NAT,F,PC_WMN,AT,2007-01-01,30
PARL_NAT,F,PC_WMN,AT,2008-01-01,29
PARL_NAT,F,PC_WMN,AT,2009-01-01,26
PARL_NAT,F,PC_WMN,AT,2010-01-01,29
PARL_NAT,F,PC_WMN,AT,2011-01-01,28
PARL_NAT,F,PC_WMN,AT,2012-01-01,29
PARL_NAT,F,PC_WMN,AT,2013-01-01,32
PARL_NAT,F,PC_WMN,AT,2014-01-01,30
PARL_NAT,F,PC_WMN,AT,2015-01-01,30
PARL_NAT,F,PC_WMN,AT,2016-01-01,30
PARL_NAT,F,PC_WMN,AT,2017-01-01,32
PARL_NAT,F,PC_WMN,AT,2018-01-01,34
PARL_NAT,F,PC_WMN,BE,2003-01-01,34
PARL_NAT,F,PC_WMN,BE,2004-01-01,35
PARL_NAT,F,PC_WMN,BE,2005-01-01,35
PARL_NAT,F,PC_WMN,BE,2006-01-01,36
PARL_NAT,F,PC_WMN,BE,2007-01-01,35
