age,sex,workint,indic_il,hhtyp,geotime,date,value
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,IT,2017-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2006-01-01,71
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2007-01-01,78
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2008-01-01,70
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2009-01-01,71
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2010-01-01,65
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2011-01-01,64
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2012-01-01,65
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2014-01-01,70
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2016-01-01,77
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LT,2017-01-01,78
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2006-01-01,45
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2007-01-01,43
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2008-01-01,49
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2009-01-01,47
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2010-01-01,45
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2011-01-01,41
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2012-01-01,44
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2014-01-01,58
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2016-01-01,48
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LU,2017-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2006-01-01,82
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2007-01-01,76
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2008-01-01,83
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2009-01-01,83
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2010-01-01,71
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2011-01-01,66
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2012-01-01,69
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2014-01-01,73
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2016-01-01,75
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,LV,2017-01-01,77
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2006-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2007-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2008-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2009-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2010-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2011-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2012-01-01,76
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2014-01-01,70
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2016-01-01,71
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MK,2017-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2006-01-01,56
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2007-01-01,66
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2008-01-01,61
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2009-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2010-01-01,62
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2011-01-01,60
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2012-01-01,62
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2014-01-01,64
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2016-01-01,68
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,MT,2017-01-01,72
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,NL,2006-01-01,35
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,NL,2007-01-01,33
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,NL,2008-01-01,39
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,NL,2009-01-01,47
