sex,age,unit,isced11,geotime,date,value
T,Y20-29,PC,TOTAL,SI,2005-01-01,66
T,Y20-29,PC,TOTAL,SI,2006-01-01,65
T,Y20-29,PC,TOTAL,SI,2007-01-01,68
T,Y20-29,PC,TOTAL,SI,2008-01-01,69
T,Y20-29,PC,TOTAL,SI,2009-01-01,64
T,Y20-29,PC,TOTAL,SI,2010-01-01,63
T,Y20-29,PC,TOTAL,SI,2011-01-01,60
T,Y20-29,PC,TOTAL,SI,2012-01-01,
T,Y20-29,PC,TOTAL,SI,2013-01-01,
T,Y20-29,PC,TOTAL,SI,2014-01-01,55
T,Y20-29,PC,TOTAL,SI,2015-01-01,59
T,Y20-29,PC,TOTAL,SI,2016-01-01,60
T,Y20-29,PC,TOTAL,SI,2017-01-01,67
T,Y20-29,PC,TOTAL,SK,2005-01-01,57
T,Y20-29,PC,TOTAL,SK,2006-01-01,59
T,Y20-29,PC,TOTAL,SK,2007-01-01,60
T,Y20-29,PC,TOTAL,SK,2008-01-01,60
T,Y20-29,PC,TOTAL,SK,2009-01-01,55
T,Y20-29,PC,TOTAL,SK,2010-01-01,52
T,Y20-29,PC,TOTAL,SK,2011-01-01,52
T,Y20-29,PC,TOTAL,SK,2012-01-01,
T,Y20-29,PC,TOTAL,SK,2013-01-01,
T,Y20-29,PC,TOTAL,SK,2014-01-01,53
T,Y20-29,PC,TOTAL,SK,2015-01-01,57
T,Y20-29,PC,TOTAL,SK,2016-01-01,59
T,Y20-29,PC,TOTAL,SK,2017-01-01,60
T,Y20-29,PC,TOTAL,TR,2005-01-01,
T,Y20-29,PC,TOTAL,TR,2006-01-01,47
T,Y20-29,PC,TOTAL,TR,2007-01-01,47
T,Y20-29,PC,TOTAL,TR,2008-01-01,47
T,Y20-29,PC,TOTAL,TR,2009-01-01,46
T,Y20-29,PC,TOTAL,TR,2010-01-01,48
T,Y20-29,PC,TOTAL,TR,2011-01-01,50
T,Y20-29,PC,TOTAL,TR,2012-01-01,
T,Y20-29,PC,TOTAL,TR,2013-01-01,
T,Y20-29,PC,TOTAL,TR,2014-01-01,52
