unit,indic_he,geo\time,date,value
YR,F_65_LE,CY,2011-01-01,20.3 
YR,F_65_LE,CY,2012-01-01,20.4 
YR,F_65_LE,CY,2013-01-01,21.6 
YR,F_65_LE,CY,2014-01-01,21.3 
YR,F_65_LE,CY,2015-01-01,20.8 
YR,F_65_LE,CY,2016-01-01,21.8 
YR,F_65_LE,CZ,2005-01-01,17.7 
YR,F_65_LE,CZ,2006-01-01,18.3 
YR,F_65_LE,CZ,2007-01-01,18.5 
YR,F_65_LE,CZ,2008-01-01,18.8 
YR,F_65_LE,CZ,2009-01-01,18.8 
YR,F_65_LE,CZ,2010-01-01,19.0 
YR,F_65_LE,CZ,2011-01-01,19.2 
YR,F_65_LE,CZ,2012-01-01,19.2 
YR,F_65_LE,CZ,2013-01-01,19.3 
YR,F_65_LE,CZ,2014-01-01,19.8 
YR,F_65_LE,CZ,2015-01-01,19.4 
YR,F_65_LE,CZ,2016-01-01,20.0 
YR,F_65_LE,DE,2005-01-01,20.1 
YR,F_65_LE,DE,2006-01-01,20.5 
YR,F_65_LE,DE,2007-01-01,20.7 
YR,F_65_LE,DE,2008-01-01,20.7 
YR,F_65_LE,DE,2009-01-01,20.8 
YR,F_65_LE,DE,2010-01-01,20.9 
