age,sex,hhtyp,indic_il,workint,geotime,date,value
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2009-01-01,32.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2010-01-01,37.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2011-01-01,35.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2012-01-01,38.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2013-01-01,44.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2014-01-01,34.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2015-01-01,43.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2016-01-01,37.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,FR,2017-01-01,44.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2006-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2007-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2008-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2009-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2010-01-01,55.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2011-01-01,52.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2012-01-01,52.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2013-01-01,57.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2014-01-01,52.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2015-01-01,59.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2016-01-01,55.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HR,2017-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2006-01-01,37.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,HU,2007-01-01,28.4
