unit,incgrp,hhtyp,n_item,geotime,date,value
PC,TOTAL,TOTAL,0,SE,2015-01-01,87
PC,TOTAL,TOTAL,0,SE,2016-01-01,86
PC,TOTAL,TOTAL,0,SE,2017-01-01,87
PC,TOTAL,TOTAL,0,SI,2006-01-01,72
PC,TOTAL,TOTAL,0,SI,2007-01-01,75
PC,TOTAL,TOTAL,0,SI,2008-01-01,63
PC,TOTAL,TOTAL,0,SI,2009-01-01,59
PC,TOTAL,TOTAL,0,SI,2010-01-01,62
PC,TOTAL,TOTAL,0,SI,2011-01-01,59
PC,TOTAL,TOTAL,0,SI,2012-01-01,63
PC,TOTAL,TOTAL,0,SI,2013-01-01,69
PC,TOTAL,TOTAL,0,SI,2014-01-01,68
PC,TOTAL,TOTAL,0,SI,2015-01-01,70
PC,TOTAL,TOTAL,0,SI,2016-01-01,73
PC,TOTAL,TOTAL,0,SI,2017-01-01,75
PC,TOTAL,TOTAL,0,SK,2006-01-01,89
PC,TOTAL,TOTAL,0,SK,2007-01-01,90
PC,TOTAL,TOTAL,0,SK,2008-01-01,88
PC,TOTAL,TOTAL,0,SK,2009-01-01,90
PC,TOTAL,TOTAL,0,SK,2010-01-01,91
PC,TOTAL,TOTAL,0,SK,2011-01-01,90
PC,TOTAL,TOTAL,0,SK,2012-01-01,89
PC,TOTAL,TOTAL,0,SK,2013-01-01,90
PC,TOTAL,TOTAL,0,SK,2014-01-01,91
PC,TOTAL,TOTAL,0,SK,2015-01-01,91
PC,TOTAL,TOTAL,0,SK,2016-01-01,92
PC,TOTAL,TOTAL,0,SK,2017-01-01,91
PC,TOTAL,TOTAL,0,TR,2006-01-01,44
PC,TOTAL,TOTAL,0,TR,2007-01-01,49
PC,TOTAL,TOTAL,0,TR,2008-01-01,50
PC,TOTAL,TOTAL,0,TR,2009-01-01,43
PC,TOTAL,TOTAL,0,TR,2010-01-01,
PC,TOTAL,TOTAL,0,TR,2011-01-01,46
PC,TOTAL,TOTAL,0,TR,2012-01-01,44
