nutrient,indic_ag,geo,unittime,date,value
N,BAL_UAA,SI,KG,2003-01-01,98.0
N,BAL_UAA,SI,KG,2004-01-01,53.0
N,BAL_UAA,SI,KG,2005-01-01,44.0
N,BAL_UAA,SI,KG,2006-01-01,69.0
N,BAL_UAA,SI,KG,2007-01-01,60.0
N,BAL_UAA,SI,KG,2008-01-01,45.0
N,BAL_UAA,SI,KG,2009-01-01,55.0
N,BAL_UAA,SI,KG,2010-01-01,46.0
N,BAL_UAA,SI,KG,2011-01-01,50.0
N,BAL_UAA,SI,KG,2012-01-01,57.0
N,BAL_UAA,SI,KG,2013-01-01,69.0
N,BAL_UAA,SI,KG,2014-01-01,43.0
N,BAL_UAA,SI,KG,2015-01-01,45.0
N,BAL_UAA,SI,KG,2016-01-01,42.0
N,BAL_UAA,SK,KG,2000-01-01,45.0
N,BAL_UAA,SK,KG,2001-01-01,35.0
N,BAL_UAA,SK,KG,2002-01-01,39.0
N,BAL_UAA,SK,KG,2003-01-01,48.0
N,BAL_UAA,SK,KG,2004-01-01,29.0
N,BAL_UAA,SK,KG,2005-01-01,34.0
N,BAL_UAA,SK,KG,2006-01-01,40.0
N,BAL_UAA,SK,KG,2007-01-01,50.0
N,BAL_UAA,SK,KG,2008-01-01,29.0
N,BAL_UAA,SK,KG,2009-01-01,29.0
N,BAL_UAA,SK,KG,2010-01-01,46.0
N,BAL_UAA,SK,KG,2011-01-01,32.0
N,BAL_UAA,SK,KG,2012-01-01,41.0
N,BAL_UAA,SK,KG,2013-01-01,41.0
N,BAL_UAA,SK,KG,2014-01-01,19.0
N,BAL_UAA,SK,KG,2015-01-01,38.0
N,BAL_UAA,SK,KG,2016-01-01,16.0
N,BAL_UAA,UK,KG,2000-01-01,107.0
N,BAL_UAA,UK,KG,2001-01-01,109.0
N,BAL_UAA,UK,KG,2002-01-01,102.0
N,BAL_UAA,UK,KG,2003-01-01,96.0
