worktime,geotime,date,value
PT,IS,2008-01-01,7.3
PT,IS,2009-01-01,8.9
PT,IS,2010-01-01,6.7
PT,IS,2011-01-01,5.6
PT,IS,2012-01-01,6.2
PT,IS,2013-01-01,9.7
PT,IS,2014-01-01,7.6
PT,IS,2015-01-01,8.5
PT,IS,2016-01-01,8.2
PT,IS,2017-01-01,
PT,IT,2006-01-01,12.9
PT,IT,2007-01-01,14.6
PT,IT,2008-01-01,13.7
PT,IT,2009-01-01,14.5
PT,IT,2010-01-01,14.5
PT,IT,2011-01-01,18.6
PT,IT,2012-01-01,18.0
PT,IT,2013-01-01,19.2
PT,IT,2014-01-01,17.4
PT,IT,2015-01-01,18.5
PT,IT,2016-01-01,19.9
PT,IT,2017-01-01,18.6
PT,LT,2006-01-01,25.3
PT,LT,2007-01-01,28.2
PT,LT,2008-01-01,22.5
PT,LT,2009-01-01,24.5
PT,LT,2010-01-01,22.3
PT,LT,2011-01-01,21.7
PT,LT,2012-01-01,26.2
PT,LT,2013-01-01,24.7
PT,LT,2014-01-01,24.2
PT,LT,2015-01-01,28.1
PT,LT,2016-01-01,29.2
PT,LT,2017-01-01,29.4
PT,LU,2006-01-01,14.3
PT,LU,2007-01-01,10.2
PT,LU,2008-01-01,13.3
PT,LU,2009-01-01,11.9
PT,LU,2010-01-01,12.4
PT,LU,2011-01-01,12.3
PT,LU,2012-01-01,12.9
PT,LU,2013-01-01,14.0
PT,LU,2014-01-01,14.8
PT,LU,2015-01-01,16.5
PT,LU,2016-01-01,17.6
PT,LU,2017-01-01,17.4
PT,LV,2006-01-01,25.7
PT,LV,2007-01-01,23.8
PT,LV,2008-01-01,24.2
PT,LV,2009-01-01,26.0
PT,LV,2010-01-01,23.6
PT,LV,2011-01-01,25.1
PT,LV,2012-01-01,23.1
PT,LV,2013-01-01,20.5
PT,LV,2014-01-01,18.7
PT,LV,2015-01-01,18.4
PT,LV,2016-01-01,23.3
PT,LV,2017-01-01,24.4
PT,MK,2006-01-01,
PT,MK,2007-01-01,
PT,MK,2008-01-01,
PT,MK,2009-01-01,
PT,MK,2010-01-01,
PT,MK,2011-01-01,
PT,MK,2012-01-01,32.0
PT,MK,2013-01-01,24.3
PT,MK,2014-01-01,31.6
PT,MK,2015-01-01,25.7
PT,MK,2016-01-01,24.7
PT,MK,2017-01-01,
PT,MT,2006-01-01,9.0
PT,MT,2007-01-01,8.7
PT,MT,2008-01-01,7.1
PT,MT,2009-01-01,9.3
PT,MT,2010-01-01,8.6
PT,MT,2011-01-01,13.2
PT,MT,2012-01-01,12.8
PT,MT,2013-01-01,12.1
PT,MT,2014-01-01,12.7
PT,MT,2015-01-01,14.9
PT,MT,2016-01-01,13.8
PT,MT,2017-01-01,14.0
PT,NL,2006-01-01,5.0
PT,NL,2007-01-01,4.3
PT,NL,2008-01-01,4.6
PT,NL,2009-01-01,5.3
PT,NL,2010-01-01,4.5
PT,NL,2011-01-01,5.4
PT,NL,2012-01-01,4.5
PT,NL,2013-01-01,4.5
PT,NL,2014-01-01,5.1
PT,NL,2015-01-01,4.5
PT,NL,2016-01-01,5.0
PT,NL,2017-01-01,6.7
PT,NO,2006-01-01,7.6
PT,NO,2007-01-01,6.0
PT,NO,2008-01-01,5.7
PT,NO,2009-01-01,7.5
PT,NO,2010-01-01,8.5
PT,NO,2011-01-01,7.1
PT,NO,2012-01-01,7.0
PT,NO,2013-01-01,7.9
PT,NO,2014-01-01,9.3
PT,NO,2015-01-01,8.9
PT,NO,2016-01-01,10.6
PT,NO,2017-01-01,12.7
PT,PL,2006-01-01,22.7
PT,PL,2007-01-01,19.5
PT,PL,2008-01-01,19.9
PT,PL,2009-01-01,19.9
PT,PL,2010-01-01,20.6
PT,PL,2011-01-01,17.7
PT,PL,2012-01-01,18.1
PT,PL,2013-01-01,20.2
PT,PL,2014-01-01,17.1
PT,PL,2015-01-01,18.3
PT,PL,2016-01-01,20.4
PT,PL,2017-01-01,21.7
PT,PT,2006-01-01,28.9
PT,PT,2007-01-01,27.8
PT,PT,2008-01-01,27.8
PT,PT,2009-01-01,33.0
PT,PT,2010-01-01,32.7
