sex,wstatus,age,unit,geotime,date,value
T,POP,Y18-24,PC,SE,2014-01-01,6
T,POP,Y18-24,PC,SE,2015-01-01,7
T,POP,Y18-24,PC,SE,2016-01-01,7
T,POP,Y18-24,PC,SE,2017-01-01,7
T,POP,Y18-24,PC,SI,2005-01-01,4
T,POP,Y18-24,PC,SI,2006-01-01,5
T,POP,Y18-24,PC,SI,2007-01-01,4
T,POP,Y18-24,PC,SI,2008-01-01,5
T,POP,Y18-24,PC,SI,2009-01-01,5
T,POP,Y18-24,PC,SI,2010-01-01,5
T,POP,Y18-24,PC,SI,2011-01-01,4
T,POP,Y18-24,PC,SI,2012-01-01,
T,POP,Y18-24,PC,SI,2013-01-01,3
T,POP,Y18-24,PC,SI,2014-01-01,4
T,POP,Y18-24,PC,SI,2015-01-01,5
T,POP,Y18-24,PC,SI,2016-01-01,4
T,POP,Y18-24,PC,SI,2017-01-01,4
T,POP,Y18-24,PC,SK,2005-01-01,6
T,POP,Y18-24,PC,SK,2006-01-01,6
T,POP,Y18-24,PC,SK,2007-01-01,6
T,POP,Y18-24,PC,SK,2008-01-01,6
T,POP,Y18-24,PC,SK,2009-01-01,4
T,POP,Y18-24,PC,SK,2010-01-01,4
T,POP,Y18-24,PC,SK,2011-01-01,5
T,POP,Y18-24,PC,SK,2012-01-01,
T,POP,Y18-24,PC,SK,2013-01-01,6
T,POP,Y18-24,PC,SK,2014-01-01,6
T,POP,Y18-24,PC,SK,2015-01-01,6
T,POP,Y18-24,PC,SK,2016-01-01,7
T,POP,Y18-24,PC,SK,2017-01-01,9
T,POP,Y18-24,PC,TR,2005-01-01,
T,POP,Y18-24,PC,TR,2006-01-01,48
T,POP,Y18-24,PC,TR,2007-01-01,46
T,POP,Y18-24,PC,TR,2008-01-01,45
T,POP,Y18-24,PC,TR,2009-01-01,44
T,POP,Y18-24,PC,TR,2010-01-01,43
T,POP,Y18-24,PC,TR,2011-01-01,41
T,POP,Y18-24,PC,TR,2012-01-01,
T,POP,Y18-24,PC,TR,2013-01-01,37
T,POP,Y18-24,PC,TR,2014-01-01,38
T,POP,Y18-24,PC,TR,2015-01-01,36
T,POP,Y18-24,PC,TR,2016-01-01,34
T,POP,Y18-24,PC,TR,2017-01-01,32
T,POP,Y18-24,PC,UK,2005-01-01,11
T,POP,Y18-24,PC,UK,2006-01-01,11
T,POP,Y18-24,PC,UK,2007-01-01,16
T,POP,Y18-24,PC,UK,2008-01-01,16
T,POP,Y18-24,PC,UK,2009-01-01,15
T,POP,Y18-24,PC,UK,2010-01-01,14
T,POP,Y18-24,PC,UK,2011-01-01,14
T,POP,Y18-24,PC,UK,2012-01-01,
T,POP,Y18-24,PC,UK,2013-01-01,12
T,POP,Y18-24,PC,UK,2014-01-01,11
T,POP,Y18-24,PC,UK,2015-01-01,10
T,POP,Y18-24,PC,UK,2016-01-01,11
T,POP,Y18-24,PC,UK,2017-01-01,10
