unit,hhtyp,incgrp,sex,age,geotime,date,value
PC,TOTAL,A_MD60,T,TOTAL,RS,2009-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RS,2010-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RS,2011-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RS,2012-01-01,
PC,TOTAL,A_MD60,T,TOTAL,RS,2013-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,RS,2014-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,RS,2015-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,RS,2016-01-01,1
PC,TOTAL,A_MD60,T,TOTAL,RS,2017-01-01,
PC,TOTAL,A_MD60,T,TOTAL,SI,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,SI,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,SI,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2006-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2007-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2008-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2009-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SI,2017-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,SK,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,SK,2004-01-01,
