sex,age,unit,geo\time,date,value
T,Y25-74,PC_ACT,IT,2009-01-01,6.4 
T,Y25-74,PC_ACT,IT,2010-01-01,6.9 
T,Y25-74,PC_ACT,IT,2011-01-01,6.9 
T,Y25-74,PC_ACT,IT,2012-01-01,8.9
T,Y25-74,PC_ACT,IT,2013-01-01,10.2
T,Y25-74,PC_ACT,IT,2014-01-01,10.6
T,Y25-74,PC_ACT,IT,2015-01-01,10.0
T,Y25-74,PC_ACT,IT,2016-01-01,10.0
T,Y25-74,PC_ACT,IT,2017-01-01,9.7 
T,Y25-74,PC_ACT,LT,1995-01-01,: 
T,Y25-74,PC_ACT,LT,1996-01-01,: 
T,Y25-74,PC_ACT,LT,1997-01-01,: 
T,Y25-74,PC_ACT,LT,1998-01-01,11.9 
T,Y25-74,PC_ACT,LT,1999-01-01,12.9 
T,Y25-74,PC_ACT,LT,2000-01-01,14.8 
T,Y25-74,PC_ACT,LT,2001-01-01,15.9 
T,Y25-74,PC_ACT,LT,2002-01-01,12.8 
T,Y25-74,PC_ACT,LT,2003-01-01,11.1 
T,Y25-74,PC_ACT,LT,2004-01-01,9.9 
T,Y25-74,PC_ACT,LT,2005-01-01,7.7 
T,Y25-74,PC_ACT,LT,2006-01-01,5.4 
T,Y25-74,PC_ACT,LT,2007-01-01,3.9
T,Y25-74,PC_ACT,LT,2008-01-01,5.0 
T,Y25-74,PC_ACT,LT,2009-01-01,12.2 
T,Y25-74,PC_ACT,LT,2010-01-01,16.1 
T,Y25-74,PC_ACT,LT,2011-01-01,13.9 
T,Y25-74,PC_ACT,LT,2012-01-01,12.2
T,Y25-74,PC_ACT,LT,2013-01-01,10.9
T,Y25-74,PC_ACT,LT,2014-01-01,9.9
T,Y25-74,PC_ACT,LT,2015-01-01,8.5
T,Y25-74,PC_ACT,LT,2016-01-01,7.3
T,Y25-74,PC_ACT,LT,2017-01-01,6.6 
T,Y25-74,PC_ACT,LU,1995-01-01,2.3 
T,Y25-74,PC_ACT,LU,1996-01-01,2.3 
T,Y25-74,PC_ACT,LU,1997-01-01,2.1 
T,Y25-74,PC_ACT,LU,1998-01-01,2.2 
T,Y25-74,PC_ACT,LU,1999-01-01,1.9 
T,Y25-74,PC_ACT,LU,2000-01-01,1.8 
T,Y25-74,PC_ACT,LU,2001-01-01,1.5 
T,Y25-74,PC_ACT,LU,2002-01-01,2.1 
T,Y25-74,PC_ACT,LU,2003-01-01,3.2 
T,Y25-74,PC_ACT,LU,2004-01-01,4.1 
T,Y25-74,PC_ACT,LU,2005-01-01,3.8 
T,Y25-74,PC_ACT,LU,2006-01-01,3.8 d
T,Y25-74,PC_ACT,LU,2007-01-01,3.3
T,Y25-74,PC_ACT,LU,2008-01-01,3.9 
T,Y25-74,PC_ACT,LU,2009-01-01,4.1 
