unit,na_item,geo\time,date,value
PCH_Q1_SCA,P31_S14_S15,NL,2017-10-01,0.2 p
PCH_Q1_SCA,P31_S14_S15,NL,2018-01-01,1.4 p
PCH_Q1_SCA,P31_S14_S15,NL,2018-04-01,0.3 p
PCH_Q1_SCA,P31_S14_S15,NO,2015-07-01,0.4 
PCH_Q1_SCA,P31_S14_S15,NO,2015-10-01,0.4 
PCH_Q1_SCA,P31_S14_S15,NO,2016-01-01,0.2 
PCH_Q1_SCA,P31_S14_S15,NO,2016-04-01,-0.2 
PCH_Q1_SCA,P31_S14_S15,NO,2016-07-01,0.0 
PCH_Q1_SCA,P31_S14_S15,NO,2016-10-01,1.1 
PCH_Q1_SCA,P31_S14_S15,NO,2017-01-01,0.7 
PCH_Q1_SCA,P31_S14_S15,NO,2017-04-01,0.5 
PCH_Q1_SCA,P31_S14_S15,NO,2017-07-01,0.6 
PCH_Q1_SCA,P31_S14_S15,NO,2017-10-01,0.7 
PCH_Q1_SCA,P31_S14_S15,NO,2018-01-01,0.1 
PCH_Q1_SCA,P31_S14_S15,NO,2018-04-01,1.1 
PCH_Q1_SCA,P31_S14_S15,PL,2015-07-01,0.4 
PCH_Q1_SCA,P31_S14_S15,PL,2015-10-01,0.7 
PCH_Q1_SCA,P31_S14_S15,PL,2016-01-01,1.1 
PCH_Q1_SCA,P31_S14_S15,PL,2016-04-01,1.0 
PCH_Q1_SCA,P31_S14_S15,PL,2016-07-01,1.4 
PCH_Q1_SCA,P31_S14_S15,PL,2016-10-01,1.2 
PCH_Q1_SCA,P31_S14_S15,PL,2017-01-01,1.2 
PCH_Q1_SCA,P31_S14_S15,PL,2017-04-01,1.1 
PCH_Q1_SCA,P31_S14_S15,PL,2017-07-01,1.1 
PCH_Q1_SCA,P31_S14_S15,PL,2017-10-01,1.1 
PCH_Q1_SCA,P31_S14_S15,PL,2018-01-01,1.0 
PCH_Q1_SCA,P31_S14_S15,PL,2018-04-01,1.2 
PCH_Q1_SCA,P31_S14_S15,PT,2015-07-01,0.0 
PCH_Q1_SCA,P31_S14_S15,PT,2015-10-01,0.0 
PCH_Q1_SCA,P31_S14_S15,PT,2016-01-01,1.5 
PCH_Q1_SCA,P31_S14_S15,PT,2016-04-01,0.1 
PCH_Q1_SCA,P31_S14_S15,PT,2016-07-01,0.5 
PCH_Q1_SCA,P31_S14_S15,PT,2016-10-01,1.2 
PCH_Q1_SCA,P31_S14_S15,PT,2017-01-01,0.7 
PCH_Q1_SCA,P31_S14_S15,PT,2017-04-01,-0.4 
PCH_Q1_SCA,P31_S14_S15,PT,2017-07-01,1.2 
PCH_Q1_SCA,P31_S14_S15,PT,2017-10-01,0.8 
PCH_Q1_SCA,P31_S14_S15,PT,2018-01-01,0.6 
PCH_Q1_SCA,P31_S14_S15,PT,2018-04-01,0.1 
PCH_Q1_SCA,P31_S14_S15,RO,2015-07-01,2.4 
PCH_Q1_SCA,P31_S14_S15,RO,2015-10-01,2.3 
PCH_Q1_SCA,P31_S14_S15,RO,2016-01-01,3.0 p
PCH_Q1_SCA,P31_S14_S15,RO,2016-04-01,2.5 p
PCH_Q1_SCA,P31_S14_S15,RO,2016-07-01,-0.8 p
PCH_Q1_SCA,P31_S14_S15,RO,2016-10-01,0.2 p
PCH_Q1_SCA,P31_S14_S15,RO,2017-01-01,5.3 p
PCH_Q1_SCA,P31_S14_S15,RO,2017-04-01,2.4 p
PCH_Q1_SCA,P31_S14_S15,RO,2017-07-01,4.9 p
PCH_Q1_SCA,P31_S14_S15,RO,2017-10-01,-1.3 p
PCH_Q1_SCA,P31_S14_S15,RO,2018-01-01,-0.2 p
PCH_Q1_SCA,P31_S14_S15,RO,2018-04-01,1.6 p
PCH_Q1_SCA,P31_S14_S15,SE,2015-07-01,0.9 
PCH_Q1_SCA,P31_S14_S15,SE,2015-10-01,1.0 
PCH_Q1_SCA,P31_S14_S15,SE,2016-01-01,1.0 
PCH_Q1_SCA,P31_S14_S15,SE,2016-04-01,-0.1 
PCH_Q1_SCA,P31_S14_S15,SE,2016-07-01,0.7 
PCH_Q1_SCA,P31_S14_S15,SE,2016-10-01,0.4 
PCH_Q1_SCA,P31_S14_S15,SE,2017-01-01,0.8 
PCH_Q1_SCA,P31_S14_S15,SE,2017-04-01,0.5 
PCH_Q1_SCA,P31_S14_S15,SE,2017-07-01,0.5 
PCH_Q1_SCA,P31_S14_S15,SE,2017-10-01,0.8 
PCH_Q1_SCA,P31_S14_S15,SE,2018-01-01,0.5 
PCH_Q1_SCA,P31_S14_S15,SE,2018-04-01,0.9 
PCH_Q1_SCA,P31_S14_S15,SI,2015-07-01,0.6 
PCH_Q1_SCA,P31_S14_S15,SI,2015-10-01,-0.6 
PCH_Q1_SCA,P31_S14_S15,SI,2016-01-01,2.0 
PCH_Q1_SCA,P31_S14_S15,SI,2016-04-01,1.5 
PCH_Q1_SCA,P31_S14_S15,SI,2016-07-01,0.7 
PCH_Q1_SCA,P31_S14_S15,SI,2016-10-01,0.6 
PCH_Q1_SCA,P31_S14_S15,SI,2017-01-01,-0.7 
PCH_Q1_SCA,P31_S14_S15,SI,2017-04-01,1.0 
PCH_Q1_SCA,P31_S14_S15,SI,2017-07-01,0.8 
PCH_Q1_SCA,P31_S14_S15,SI,2017-10-01,1.4 
PCH_Q1_SCA,P31_S14_S15,SI,2018-01-01,-0.1 
PCH_Q1_SCA,P31_S14_S15,SI,2018-04-01,-0.7 
PCH_Q1_SCA,P31_S14_S15,UK,2015-07-01,1.2 
PCH_Q1_SCA,P31_S14_S15,UK,2015-10-01,0.1 
PCH_Q1_SCA,P31_S14_S15,UK,2016-01-01,1.1 
PCH_Q1_SCA,P31_S14_S15,UK,2016-04-01,0.8 
PCH_Q1_SCA,P31_S14_S15,UK,2016-07-01,1.2 
PCH_Q1_SCA,P31_S14_S15,UK,2016-10-01,0.0 
PCH_Q1_SCA,P31_S14_S15,UK,2017-01-01,0.6 
PCH_Q1_SCA,P31_S14_S15,UK,2017-04-01,0.3 
PCH_Q1_SCA,P31_S14_S15,UK,2017-07-01,0.3 
PCH_Q1_SCA,P31_S14_S15,UK,2017-10-01,0.3 
